ISO 639-3	Language	Dialect	Genetics	Source	#Speakers	Method	Quantity	Harmony?	#Vowels	Structure	#Peripheral	#Non-peripheral	V1OS	V1PS	V1F1	V1F2	V1F3	V1F4	V2OS	V2PS	V2F1	V2F2	V2F3	V2F4	V3OS	V3PS	V3F1	V3F2	V3F3	V3F4	V4OS	V4PS	V4F1	V4F2	V4F3	V4F4	V5OS	V5PS	V5F1	V5F2	V5F3	V5F4	V6OS	V6PS	V6F1	V6F2	V6F3	V6F4	V7OS	V7PS	V7F1	V7F2	V7F3	V7F4	V8OS	V8PS	V8F1	V8F2	V8F3	V8F4	V9OS	V9PS	V9F1	V9F2	V9F3	V9F4	V10OS	V10PS	V10F1	V10F2	V10F3	V10F4	V11OS	V11PS	V11F1	V11F2	V11F3	V11F4	V12OS	V12PS	V12F1	V12F2	V12F3	V12F4	V13OS	V13PS	V13F1	V13F2	V13F3	V13F4	V14OS	V14PS	V14F1	V14F2	V14F3	V14F4		F1Centroid	F1CentroidPosition	F1UCA	F2Centroid	F2CentroidPosition	F2UCA
ajp	Palestinian Arabic	Jordan	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	Altamimi, J., Carre, R., Marsico, E. (2004). The status of vowels in Jordanian and Moroccan Arabic: insights from production and perception. proc. of 48th meeting of the Acoustical Society of America 2629-2629. http://www.ddl.ish-lyon.cnrs.fr/fulltext/Al-Tamimi/Al-Tamimi_2004_Poster_ASA.pdf	8	Wordlist	Long	No	5	5S0	5	0	i		315	2230			e		405	1920			a		615	1315			o		440	1085			u		345	960																																																										435	0.4	432.3	1537.5	0.454724409448819	1456.57
ajp	Palestinian Arabic	Ramallah	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	Shahin, K. (2000). Vowel innovation in Arabic: inductive grounding and pattern symmetry. In Lecarme, J. (ed.) Research in Afroasiatic Grammar II 429-447. Amsterdam: John Benjamins.	1	Wordlist	Long	No	5	5S0	5	0	i		290	2341			e		429	1880			æ		619	1578			o		474	1067			u		318	1001																																																										426	0.413373860182371	418.639	1573.4	0.427164179104478	1524.94
aka	Akan	Kwawu	NigerCongo>AtlanticCongo>Kwa>Akan	Hess, S. (1987). Acoustic characteristics of the vowel harmony feature and vowel raising in Akan. UCLA WPP 68:58-82	1	Carrier sentence	Uniform	Yes	9	9S0	9	0	i		260	2141	2678	3565	ɪ		309	1785	2438	3640	e		311	1875	2498	3605	ɛ		458	1564	2430	4000	a		630	1319	2137	3460	ɔ		524	1108	2065	3415	o		423	1293	2455	3360	ʊ		410	1198	2195	3170	u		306	780	2225																																	403.444444444444	0.387687687687688	404.67	1451.44444444444	0.493346395624133	1312.151
ale	Aleut		EskimoAleut>AleutGroup	Cho, T., Taff, A., Dirks, M., Ladefoged, P. (1997). Some phonetic structures of Aleut. UCLA WPP 95:68-90.	4	Wordlist	Long	No	3	3S0	3	0	i		340	2350			a		770	1210			u		375	920																																																																						481.666666666667	0.329457364341085	508.13	1538.33333333333	0.432400932400932	1479.13
ale	Aleut		EskimoAleut>AleutGroup	Cho, T., Taff, A., Dirks, M., Ladefoged, P. (1997). Some phonetic structures of Aleut. UCLA WPP 95:68-90.	4	Wordlist	Short	No	3	3S0	3	0	i		350	2290			a		630	1540			u		425	920																																																																						481.666666666667	0.329457364341085	508.13	1538.33333333333	0.432400932400932	1479.13
aln	Gheg Albanian		IndoEuropean>Albanian	Halimi, H. (1980). Problemes de la nasalite phonetique et phonologique en albanais (dialecte guegue). Travaux de l'institut d'etudes linguistiques et phonetiques, universite de la sorbonne nouvelle, Paris 3:92-120.	1	Wordlist	Long	No	6	5S1	5	1	i		255	2200	3060		e		360	2040	2585		a		640	1235	2455		o		490	950	2400		u		295	700	2335		y		255	2000	2400																																																			403.25	0.385064935064935	405.535	1556.83333333333	0.565566556655665	1292.365
aln	Gheg Albanian		IndoEuropean>Albanian	Halimi, H. (1980). Problemes de la nasalite phonetique et phonologique en albanais (dialecte guegue). Travaux de l'institut d'etudes linguistiques et phonetiques, universite de la sorbonne nouvelle, Paris 3:92-120.	1	Wordlist	Short	No	6	5S1	5	1	ɪ		300	2215	2700		ɛ		467	1875	2590		a		640	1415	2525		ɔ		490	1150	2350		ʊ		340	1025	2365		ʏ		307	1877	2392																																																			403.25	0.385064935064935	405.535	1556.83333333333	0.565566556655665	1292.365
amh	Amharic	Standard	AfroAsiatic>Semitic>South>Ethiopian>South>Transversal>AmharicArgobba	Messele, A. (2007). An acoustic analysis of a pathological speech: the case of an Amharic speaking person with flaccid dysarthria. Unpublished MA Thesis, Adis Ababa University	6	Wordlist	Uniform	No	7	5S2a	5	2	i		271	2145			e		423	1965			a		696	1255			o		378	1010	2391		u		291	813	2242		ɨ		312	1483			ə		466	1502																																														405.285714285714	0.315966386554622	437.175	1453.28571428571	0.480694980694981	1333.812
ami	Amis		Austronesian>Ami	Maddieson, I., Wright, R. (1995). The vowels and consonants of Amis - a preliminary phonetic report. UCLA WPP 91:45-66.	2	Wordlist	Uniform	No	3	3S0	3	0	i		355	2325			a		770	1335			u		500	1010																																																																						541.666666666667	0.449799196787149	517.265	1556.66666666667	0.415716096324461	1524.165
amu	Amuzgo	Guerrero	OtoManguean>Amuzgo	Herrera Zendejas, E. (2009). Formas sonoras: mapa fonico de las lenguas mexicanas. El Colegio de Mexico, Mexico.	3	Wordlist	Uniform	No	7	7S0	7	0	i		246	2221	3021		e		410	1993	2689		æ		620	1722	2516		a		727	1299	2339		ɔ		590	965	2302		o		392	851	2745		u		311	850	2662																																													470.857142857143	0.467478467478467	434.071	1414.42857142857	0.411691153485464	1386.061
apw	Apache	Western	NaDene>Athabaskan>Southern>Southwestern	Potter, B., Gordon, M., Dawson, J., de Reuse, W., Ladefoged, P. (2000). Phonetic structures of Western Apache. UCLA WPP98:10-38.	6	Wordlist	Long	No	4	4L0	4	0	i		339	2092	2449		e		510	1754	2338		a		654	1197	2453		o		438	924	2367																																																															499.625	0.509920634920635	462.165	1490.375	0.484910102739726	1380.688
apw	Apache	Western	NaDene>Athabaskan>Southern>Southwestern	Potter, B., Gordon, M., Dawson, J., de Reuse, W., Ladefoged, P. (2000). Phonetic structures of Western Apache. UCLA WPP98:10-38.	6	Wordlist	Short	No	4	4L0	4	0	i		438	1749	2420		e		521	1758	2288		a		616	1372	2430		o		481	1077	2282																																																															499.625	0.509920634920635	462.165	1490.375	0.484910102739726	1380.688
arg	Aragonese	Chistabino	IndoEuropean>Italic>Romance>ItaloWestern>Western>PyreneanMozarabic>Pyrinean	Mott, B. (2007). Chistabino (Pyrenean Aragonese). JIPA 37:103-114.	1	Wordlist	Uniform	No	5	5S0	5	0	i		340	2150			e		475	1900			a		740	1425			o		480	860			u		385	775																																																										484	0.36	496.4	1422	0.470545454545455	1312.625
ary	Moroccan Arabic		AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	Altamimi, J., Carre, R., Marsico, E. (2004). The status of vowels in Jordanian and Moroccan Arabic: insights from production and perception. proc. of 48th meeting of the Acoustical Society of America 2629-2629. http://www.ddl.ish-lyon.cnrs.fr/fulltext/Al-Tamimi/Al-Tamimi_2004_Poster_ASA.pdf	10	Isolation	Long	No	3	3S0	3	0	i		290	2215			a		645	1135			u		365	765																																																																						433.333333333333	0.403755868544601	428.805	1371.66666666667	0.418390804597701	1331.95
ary	Moroccan Arabic		AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	Altamimi, J., Carre, R., Marsico, E. (2004). The status of vowels in Jordanian and Moroccan Arabic: insights from production and perception. proc. of 48th meeting of the Acoustical Society of America 2629-2629. http://www.ddl.ish-lyon.cnrs.fr/fulltext/Al-Tamimi/Al-Tamimi_2004_Poster_ASA.pdf	10	Wordlist	Long	No	3	3S0	3	0	i		290	2180			a		575	1400			u		345	915																																																																						403.333333333333	0.39766081871345	401.435	1498.33333333333	0.461133069828722	1409.615
arz	Egyptian Arabic	Cairo	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	Norlin, K. (1984). Acoustic analysis of vowels and diphthongs in Cairo Arabic. Lund WPL 27:185-209; Norlin, K. (1987). A phonetic study of emphasis and vowels in Egyptian Arabic. Lund WPL 30.	15	Carrier sentence	Short	No	3	3S0	3	0	i		431	1898	2614		a		599	1581	2615		u		415	1124	2433																																																																					423.75	0.429153094462541	412.037	1565.5	0.504826254826255	1388.614
arz	Egyptian Arabic		AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	Elgendy, A.M. (1982). Acoustic data on the consonants and vowels in Egyptian Arabic. Paper from the Institute of Linguistics, Stockholm University.	3	Isolation	Short	No	3	3S0	3	0	e		426	1894	2618		a		618	1568	2642		o		429	1163	2476																																																																					440	0.487804878048781	400.31	1560	0.578297595841455	1271.749
arz	Egyptian Arabic	Cairo	AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	Norlin, K. (1984). Acoustic analysis of vowels and diphthongs in Cairo Arabic. Lund WPL 27:185-209; Norlin, K. (1987). A phonetic study of emphasis and vowels in Egyptian Arabic. Lund WPL 30.	15	Carrier sentence	Long	No	5	5S0	5	0	i		292	2335	3041		e		379	2183	2778		a		574	1752	2613		o		399	870	2401		u		301	781	2382																																																									423.75	0.429153094462541	412.037	1565.5	0.504826254826255	1388.614
arz	Egyptian Arabic		AfroAsiatic>Semitic>West>Central>SouthCentral>Arabic	Elgendy, A.M. (1982). Acoustic data on the consonants and vowels in Egyptian Arabic. Paper from the Institute of Linguistics, Stockholm University.	3	Isolation	Long	No	5	5S0	5	0	i		240	2150	2900		e		388	2209	2781		a		650	1930	2496		o		419	896	2473		u		350	670	2350																																																									440	0.487804878048781	400.31	1560	0.578297595841455	1271.749
bar	Bavarian		IndoEuropean>Germanic>WestGermanic>HighGerman	Traunmuller, H. (1982). Vokalismus in der westniederosterreichischen Mundart. Zeitschrift fur Dialektologie und Linguistik 2:289-333.	8	Carrier sentence	Long	No	13	9S4	9	4	i		251	2188	3244		e		332	2084	2766		ɛ		379	2081	2681		æ		526	1853	2545		a		711	1319	2234		ɒ		566	997	2236		ɔ		418	841	2302		o		365	897	2318		u		267	710	2121		y		247	1875	2211		ø		331	1709	2245		œ		383	1681	2294		ɶ		543	1551	2399									409.153846153846	0.34946949602122	428.424	1522	0.549391069012179	1287.898
bbc	Toba Batak		Austronesian>MalayoPolynesian>NuclearMP>NorthwestSumatran>Batak>Southern	Podesva, R.J., Adisasmito-Smith, N. (1999). Acoustic investigation of the vowel systems of Buginese and Toba Batak. Proc. 14th ICPhS 535-538.	1	Carrier sentence	Uniform	No	5	5S0	5	0	i		300	2010			e		395	1915			a		690	1360			o		385	990			u		325	1020																																																										419	0.305128205128205	452.49	1459	0.459803921568627	1388.82
bcr	Babine	Witsuwit'en	NaDene>Nuclear>AthapaskanEyak>Athapaskan>Canadian>CarrierChilcotin>BabineCarrier	Hargus, S. (2007). Witsuwit'en grammar: phonetics, grammar, morphology. UBCPress, Vancouver.	4	Wordlist	Uniform	No	7	6L1	6	1	i	i̞	306	2087	2596		e	e	410	1986	2460		ɛ	ɛ	619	1685	2291		a	ɐ	715	1488	2372		o	o̽	484	1056	2292		u	ʉ̞	334	1196	2241		ə	ə	528	1572	2399																																													485.142857142857	0.438002095703807	465.919	1581.42857142857	0.509630040182901	1459.121
bdu	Oroko	Mbonge	NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong	Anderson-Starwalt, C.G. (2008). The acoustic correlates of ATR harmony in seven- and nine-vowel African languages: a phonetic inquiry into phonological structure. Unpublished PhD Dissertation, University of Texas at Arlington; Anderson-Starwalt, C.G. (p.c.)	3	Wordlist	Uniform	No	7	7S0	7	0	i		281	2085	XXX		e		317	2164	XXX		ɛ		448	1872	XXX		a		617	1538	XXX		ɔ		473	1204	XXX		o		353	1167	XXX		u		293	1234	XXX																																													397.428571428571	0.346513605442177	412.376	1609.14285714286	0.443473276973778	1556.827
bdu	Oroko	Londo	NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>A>LunduBalong	Anderson-Starwalt, C.G. (2008). The acoustic correlates of ATR harmony in seven- and nine-vowel African languages: a phonetic inquiry into phonological structure. Unpublished PhD Dissertation, University of Texas at Arlington; Anderson-Starwalt, C.G. (p.c.)	3	Wordlist	Uniform	No	7	7S0	7	0	i		286	1843	XXX		e		344	1800	XXX		ɛ		477	1613	XXX		a		668	1393	XXX		ɔ		530	1086	XXX		o		360	936	XXX		u		323	1038	XXX																																													426.857142857143	0.368735976065819	435.362	1387	0.497243660418964	1290.637
ben	Bengali	Calcutta	IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese	Basu-Ghosh, S. (1986). A spectrographic study of Bengali vowels. In Rajapurohit (ed.), Acoustic studies in Indian languages 7-11. Central institute of Indian languages, Mysore; Barman, S,N. (1986), Vowel quality in Bengali. In Rajapurohit (ed.), Acoustic studies in Indian languages 12-20. Central institute of Indian languages, Mysore	1	Wordlist	Uniform	No	7	7S0	7	0	i		275	1975	2625		e		350	1850	2450		æ		525	1850	2225		a		637	1237	2212		ɔ		475	1025	2300		o		400	862	2250		u		300	900																																														423.142857142857	0.409234411996843	416.542	1385.57142857143	0.47041458092671	1297.183
ben	Bengali	Bangladesh	IndoEuropean>IndoIranian>IndoAryan>Eastern>BanglaAssamese	Alam, F., Murtoza Habib, S.M., Khan, M. (2008). Acoustic analysis of Bangla vowel inventory. BRAC University CRBLP Technical report. 	3	Carrier sentence	Uniform	No	7	7S0	7	0	i		357	2059	2690		e		481	1807	2451		æ		599	1619	2364		a		694	1371	2288		ɔ		586	1109	2344		o		423	1034	2404		u		347	1001	2551																																													498.142857142857	0.435570193495266	482.677	1428.57142857143	0.404131785039158	1414.678
bjv	Bedjond	Beda	NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara	Djarangar, D.I. (1991). Some Sara vowel inventories and vowel system predictions. Proc. 12th ICPhS 4:378-381. Aix-En-Provence: Universite de Provence Service des Publications.	1	Carrier sentence	Long	No	6	6R0	6	0	i		305	2091			e		401	1565			a		700	1340			ɔ		558	1086			o		386	853			u		305	721																																																				442.5	0.348101265822785	459.445	1276	0.405109489051095	1256.67
bjv	Bedjond	Bediondo	NiloSaharan>ChariNile>CentralSudanic>BongoBagirmi>Sara	Djarangar, D.I. (1991). Some Sara vowel inventories and vowel system predictions. Proc. 12th ICPhS 4:378-381. Aix-En-Provence: Universite de Provence Service des Publications; Djarangar, D.I. (1992). De la dispersion des voyelles dans l'espace linguistique Sara. ICP Grenoble Bulletin de la communication parlee 2:89-104.	1	Carrier sentence	Long	No	6	6R0	6	0	i		168	1968	2936	3439	e		375	1874	2578	3476	a		680	1281		3416	ɔ		581	950		3160	o		386	765	2251	3176	u		201	683	2220	3226																																																		398.5	0.4501953125	368.192	1253.5	0.443968871595331	1185.435
bnh	Banawa		Arawakan>Arauan	Ladefoged, P., Ladefoged, J., Everett, D. (1997). Phonetic structures of Banawa, an endangered language. Phonetica 54:94-111/	5	Wordlist	Uniform	No	4	4L0	4	0	i		311	2320	2822		e		591	1869	2741		a		758	1422	2593		u		396	883	2685																																																															514	0.45413870246085	485.777	1623.5	0.515309672929715	1444.867
boa	Bora		Witotoan>Boran	Parker, S. (2001). The acoustic qualities of Bora vowels. Phonetica 58:179-195.	8	Isolation	Long	No	6	4L2b	4	2	i		324	2257	3221		e		494	2138	2979		a		808	1431	2530		o		552	912	2334		ɨ		396	1781	2891		ɯ		385	1488	2601																																																			493.166666666667	0.349517906336088	513.244	1667.83333333333	0.561957868649318	1437.895
boa	Bora		Witotoan>Boran	Parker, S. (2001). The acoustic qualities of Bora vowels. Phonetica 58:179-195.	8	Wordlist	Long	No	6	4L2b	4	2	i		308	2195	3196		e		420	1975	2676		a		734	1352	2443		o		481	900	2497		ɨ		378	1617	2713		ɯ		394	1492	2488																																																			452.5	0.339201877934272	474.566	1588.5	0.531660231660232	1406.345
bov	Tuwuli		NigerCongo>AtlanticCongo>VoltaCongo>Kwa>LeftBank>KposoAhloBowili	Anderson-Starwalt, C.G. (2008). The acoustic correlates of ATR harmony in seven- and nine-vowel African languages: a phonetic inquiry into phonological structure. Unpublished PhD Dissertation, University of Texas at Arlington; Anderson-Starwalt, C.G. (p.c.)	3	Wordlist	Uniform	No	7	7S0	7	0	i		288	2145	XXX		e		341	2084	XXX		ɛ		493	1906	XXX		a		784	1412	XXX		ɔ		574	1044	XXX		o		373	861	XXX		u		315	985	XXX																																													452.571428571429	0.331797235023041	481.936	1491	0.490654205607477	1363.044
bre	Breton	Argol	IndoEuropean>Celtic>Insular>Brythonic	Bothorel, A. (1982). Etude phonetique et phonologique du breton parle a Argol (Finistere sud). Atelier national, Lille.	1	Meaningful sentence	Uniform	No	9	7S2	7	2	i	i	275	2100	2800		e	e	350	2000	2700		ɛ	æ	650	1600	2650		a	a	725	1300	2600		o	ɔ	550	950	2600		ọ	o	375	850	2700		u	u̟	325	900	2500		y	y	300	1750	2500		ø	œ	525	1575	2500																																	452.777777777778	0.395061728395062	450.95	1447.22222222222	0.477777777777778	1338.75
bru	Brou	Eastern	AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo	Miller, J.D. (1967). An acoustical study of Brou vowels. Phonetica 17:149-177. 	1	Carrier sentence	Long	No	10	8R2	8	2	i		400	2560	3120		e		600	2380	2960		ɛ		800	2120	2720		a		1120	1840			ɑ		920	1400	3160		ɔ		760	1040			o		520	840			u		400	880			ɨ		440	1280	2840		ə		640	1360																												678	0.386111111111111	681.52	1543	0.408720930232558	1512.52
bru	Brou	Eastern	AustroAsiatic>MonKhmer>Eastern>Katuic>West>BrouSo	Miller, J.D. (1967). An acoustical study of Brou vowels. Phonetica 17:149-177. 	1	Carrier sentence	Short	No	10	8R2	8	2	i		400	2560	3040		e		600	2320	3160		ɛ		880	2000	2560		a		1120	1760			ɑ		1000	1400			ɔ		760	1080			o		560	840			u		400	840			ɨ		440	1200	2800		ə		800	1160																												678	0.386111111111111	681.52	1543	0.408720930232558	1512.52
brx	Bodo		SinoTibetan>TibetoBurman>Brahmaputran>BodoKoch>BodoGaro	Talukdar, P.H., Bhattacharjee, U., Goswami, C.K., Barman, J. (2004). Cepstral measure of Bodo vowels through LPC analysis. Journal of the Computer Society of India 34:56-67.	60	Isolation	Uniform	No	6	5S1	5	1	i	i	265	2390	3260		e	ɛ	520	1975	2760		a	ɐ	640	1270	2210		o	ɔ	535	1150	2265		u	ʉ	285	1210	2260		ɯ	ɯ̽	365	1265	2255																																																			435	0.453333333333333	411.625	1543.33333333333	0.317204301075269	1634.84
bul	Bulgarian		IndoEuropean>BaltoSlavic>Slavic>South>Eastern	Tilkov, D. (1970). Le vocalisme bulgare, les mouvements articulatoires et leur effet acoustique dans la formation des voyelles bulgares. Collection Linguistique publie par la Societe de Linguistique de Paris 65. Paris: Librairie C. Klincksieck.	2	Wordlist	Uniform	No	6	5S1	5	1	i		261	1991	2559		e		419	1684	2355		a		575	1072	2186		o		383	807	2244		u		283	667	2217		ə		370	1144	2235																																																			381.833333333333	0.384819532908705	383.774	1227.5	0.42333836858006	1184.684
bul	Bulgarian	Standard	IndoEuropean>BaltoSlavic>Slavic>South>Eastern	Lehiste, I., Popov, K. (1970). An acoustic analysis of Bulgarian syllable nuclei. Phonetica 21:40-48.	1	Meaningful sentence	Uniform	No	6	5S1	5	1	i		325	2140	2560		e		500	1810	2380		a		770	1455	2260		o		495	990	2270		u		365	945	2215		ə		495	1515	2380																																																			491.666666666667	0.374531835205993	498.995	1475.83333333333	0.444211994421199	1412.245
bvi	Viri		NigerCongo>AtlanticCongo>VoltaCongo>North>AdamawaUbangi>Ubangi>SereNgbakaMba>Sere>SereBviri	Hombert, J.M., Point, R. (1987). Contribution a l'etude des systemes vocaliques: le cas du viri (Sud-Soudan). Universite Lumiere Pholia 2:75-84.	1	Isolation	Uniform	No	6	6R0	6	0	i		332	2094	2931		ɛ		516	1813	2830		a		603	1367	2578		ɔ		498	995	2550		ʊ		352	772	2466		u		318	853	2298																																																			436.5	0.415789473684211	429.435	1315.66666666667	0.411245587493696	1288.902
bvr	Burarra		Australian>Gunwigguan>Burarran	Trefry, D. (1983). Discerning the back vowels /u/ and /o/ in Burarra, a language of the Australian Northern Territory. Macquarie SLRC Working Papers 3.6:19-51.	4	Wordlist	Uniform	No	5	5S0	5	0	i		420	1915			e		640	1690			a		770	1400			o		635	1150			u		465	1110																																																										586	0.474285714285714	556.85	1453	0.426086956521739	1424.755
bvx	Dibole	Dzeke	NigerCongo>AtlanticCongo>VoltaCongo>BenueCongo>Bantoid>Southern>NarrowBantu>Northwest>C>Ngundi	Anderson-Starwalt, C.G. (2008). The acoustic correlates of ATR harmony in seven- and nine-vowel African languages: a phonetic inquiry into phonological structure. Unpublished PhD Dissertation, University of Texas at Arlington; Anderson-Starwalt, C.G. (p.c.)	2	Wordlist	Uniform	No	7	7S0	7	0	i		264	2005	XXX		e		333	1989	XXX		ɛ		511	1912	XXX		a		750	1422	XXX		ɔ		577	1027	XXX		o		370	850	XXX		u		313	818	XXX																																													445.428571428571	0.373309817754262	454.026	1431.85714285714	0.517150078228427	1282.117
cat	Catalan	Sitgeta	IndoEuropean>Italic>Romance>ItaloWestern>Western>GalloIberian>IberoRomance>EastIberian	Recasens, D., Espinosa, A. (2009) Dispersion and variability in Catalan five and six peripheral vowel systems. Sp. Comm. 51:240-258	4	Meaningful sentence	Uniform	No	5	5S0	5	0	i		337	2110	2776		e̞		521	1774	2512		a		655	1370	2440		o̞		546	1079	2379		u		395	980	2356																																																									490.8	0.483647798742138	461.338	1462.6	0.427079646017699	1421.83
